冽	例側琍準凍咧荊紜洌列硎涮芸裂雲測凝倒惻次耘捌蜊前烈俐冶冷喇冰
匍	圃哺埔捕浦脯莆補鋪甫博傅搏溥膊輔誧葡蒲縛賻
蔬	疏菲芷苑止蔭蔣蓀霏薊菰薩莊肯企歲遣遺硫逃琉梳流扯址
廿	艾昔芯苗弁卉戒卅升井冊甘皿世立並曲共羊羋
滇	慎填鎮瞋縝闐真巔癲沛顛沮宜演汁濬淇浦酒沽沬濱直
儳	巉攙纔讒饞毚偕仳逸侃比毗枇妣批沘菟冤兔昆含屁庇
籀	霤留瘤榴遛溜卯茆鉚聊柳泖箝餾貿節笛笮劉卿
晉	參螂瑯縉厝廊朗鄉榔雲郎厚三響熾濺織芸箋乓二晶幽鹵良至蟲一淺棧
扇	翳栩翩翡翅翔翻翎翱翮翹羽煽羿翌習翟翁塌榻遢
啖	淡談炎痰毯燄京嘮氮嘿哨咪炒吵燃燻煦熒噹啾照
涮	刷測瀏洌前捌喇湔琍硎側惻倒咧蜊俐冽例沸匝
篷	扳亢板炕各鈑蓬皈返峯抗簇瘢蜂冬槃搬縫反鋒般伉沆坑筵阬杭吭骯逢航疼咚
貲	貸貨貴責柴員惻貫貢贊鋇資賈賃費賀買紫些狽
咱	洎鎳自臬噢癟嘎邊首省眉算咋吒叭道媚湄楣目戛憩篡
駱	洛馭絡烙路咯駁珞骼各馱恪賂胳馬驕鉻駿貉格略
危	詭厄呃扼弱桅杞記配忌己脆軛紀已卷妃氾卮犯跪
烤	尖勒熔火煤竈焚仗孝平炸者緒燒拷杖老宏銬煮災炎丈宥考炬協燃
與	舉歟譽嶼臼六舀臾身交滾裒滔潟鼠焰舂啗冥興輿商叟兒鉸滴摘嫡嘀舅
妹	味沬昧未魅姑妓宋姥朱嬸守寐侏好她如奸株銖婉嫁嬪女姦茱
櫛	節即卿棉杉柏唧鯽榴梔槐粕柞析檄柳橋橇楷彩格柢株柝板材印榭概彬
父	爸交斧釜爹爺姣咬校鉸大金究鈽狡郊效皎奕絞蛟傚跤較錡鮫
寫	瀉潟牢宅臼燄插舀審舂宮宵宋安它卉穴裒客臾身十滔焰啗
燸	濡懦嚅糯儒孺蠕需擂鐳灞壩蕾擾優煩而亙恆雷電耍耑
醇	釀醉淳惇諄酵酉醋酷酪酩醮醺酥酊醃酸醒醞醴釅酴醣醜酣酗配酌
銑	洗先銳鉑鍾窖銖鈑釩錘鎢鎳鑽壬岔鋰鉍錐鈔鈕鈍衽妊任鉻錦錕鏡瓚鉚
鹽	宦盥盈盞益盟藍盎臣籃扁盂艦盪皿盆盜檻盒濫盃盤盛監盍襤孟鹵盔尷盅鑑猛蓋
枰	秤抨坪砰杯評平萍桿枉不柯柄槓朽本林梗壞桓棕極標槭橄芣否示
藺	蘭閃躪舊蕉閥簡閤暹潤捫們籣癱籬門隹懼灘攤燜璀澗憫嫻摧僱僩匯催
悟	違葦敔怡寤圍梧齬恪吾語鼯五捂韋晤愷恰伍圄偉唔
鰓	鯉鰥鯧鰭鯨鯖鯛鰻鮪鮭鮑鰾鱔鱖鱸鮫魷鱷鰍鰱
疤	爸笆芭邑巴肥杷把吧痕耙琶疸爬靶疝奢色浥春爻葩扈者梔
閑	閉闌門間閒悶問閃閂嫻闈閔閏開閎閘閨聞欄閩閭闆朵閥蘭籣捫們瀾攔
弁	戒度庶庠席廣拚械廉蔗戈廿渡摭遮鍍臺卉戎牀棄蓆
妤	抒杼序野舒予澦預豫多侈栘墅妞好歿奴移夥瓦矛爹
額	頡碩頷頜顆頰頻頭頤頗頊顯頒頌頓煩須頃頂題顏類願顛頹穎顥顧頫顫
甌	歐瓶甄鷗毆瓷瓦甍甕區樞嶇嫗嘔奩軀驅品操噪橾鍔愕儼互夕器闆萼嚴
醜	釅醮酥酸醞酊酵醴醒醉醺醇配紐酴醣酩酗酉扭醋酪釀酷醃酣酬鈕酌
源	酒涉江湟願箔潛隙洹潦濱汀湯原汙河沍白汪騵潭沔泊涿泉湎鴻汗
弼	奭粥陌佰百剝貊厚門宿劊刑刊彌彊弓壽割剴創副剜剔劃劂釗剃劍剁到
誦	訥桶諛湧俑誧詢諂話誅涌詳蛹誣甬誰誠捅討訃計詛課訂訊痛譎詠註誚詬詨通
稼	科黍稔棕家程稿禾穢稱穋檳穩梡移稀積嫁傢稚穫穡稻穗稈嵇租穠秣秒
俸	捧棒奉揍湊榛樁臻輳泰春倩伕年秦奏舂降債偌俟侯絳佑佈挾人擎攀
囌	蘇穌嚥哎噶嘩囈吵啾嘈嗟鰍蕃萎菌莎穫繙磺噪噥嘻噎磁喋啗噗嘆咩哄
男	另脅力肋叻劣勇因努茄痂荔劫助伽咖協幼迦加
仍	奶扔氖秀乃作孕伋透莠仔仿你戶乍偏僱誘蹂乞
腐	寸守專寺鈉腑駙符忖俯咐附吋肉瘸侍府內村付肘吶
自	臬洎咱鎳目首眉省算戛湄媚道楣篡癟向苜看相冒狽筧奧嘎箱邊纂
擂	鐳蕾擾雷電儒懦濡嚅燸孺糯蠕灞青播優描揣晴掄情清倩壩菁
幌	帽晃幔胱光幟恍洸幅帕巾幛幃幢幡帷帳帖輝幀帆幗
玻	陂破板珞班玫皰彼玖菠疲玨皺跛瑰被斑詖琳披鈹玟皴波坡簸皮頗 珀
穆	彬諺診趁珍柏疹棉粕膨澎穋稽秒秩香錦穗稷稻穢稱稜腺煌遑嗥程稈湟
物	吻易囫牠惚勿牲忽牡牝惕錫刎牛牧牯拜牴特蜴賜踢匆看
打	捱酊扼汽拓擂搓汀振抨生鄞扛薴歹丁叮可仃訂差盯表釘青佇
滷	鹵鹹鹼澶濟注泣沾汴汶淺滴涉滲潼滋濾流漣淑濺鹽
禎	楨幀偵貞祉祖祀視祥祕祐祝祚祆祁社禳祺祿神祠祈祇禍締貝
癟	洎咱鎳崙自邊侖臬癒瘟瘉淪掄倫算瞼輪綸狽瘩痿痊瞿省眉首論睢狙
殊	蛛株珠硃侏死銖歹殉茱殃殖歿誅跦殆殘列殤殯朱
踹	喘端瑞湍揣惴蹦耑蹄踩蹉蹈蹣跎足而踱踴蹂踐踢踏踡蹊蹟跺跪跨蹲躇
亮	京亭享高亨毫豪亳烹膏充逞襄禿佔乩兒常哀兕吊圖允嘯選
圓	損隕賞韻員嘖匱實慣賁貝債漬潰貧賡磧遺賽賸簣臢鑽
潤	澗閏湟瀾閂煌遑惶汪斑班開憫嫻燜僩銓隍栓拴佺捫們玨篁藺
仲	攸候條介佛伸脩人倏中夥伐休佃仕仙沖僕什引佻川修絛鯈芥界疥
介	拂芥患佻而攸亞脩釧疥階條價事川沸訓圳佛姬甽界伸尬袖仲候片弗怫人串
檠	擎驚警敬啟故痳做矢敔咻枚槃集疾某矣呆蔽藪橄撒嗷矮散唉畋知
朧	攏矓嚨瓏隴龐寵籠龍膀壟鎊榜滂傍聾龔螃磅徬襲旁
懼	憔隹雌督僱暹相罹匯催目苜睢瞧惻冒瞼具藺惟雛篡璀崔攫渺瞿摧算籬俱眷
檔	嫦黨膛擋螳掌償讜儅幅棠瞠稍當鐺鏜襠儻梢堂尚噹福
箄	痺裨脾婢埤啤俾碑睥陴卑鼙顰牌箠衫杉彩彥形彤
撓	澆捱橈嬈珪繞持蹺掛圭曉僥饒拮燒堯蟯驍鐃
譟	誤詰噪誥詔譆謀諜諮諾謂讓談諉諍諄諒誌語誡詩詼詻訟課詁訣訑訏討
癸	葵揆闋睽登久昊灸凳天飛澄嶝燈橙疚發炊坎吹欽瞪磴
渭	喟泗泅胃漯涓謂浬涸膚清溫滑潸胄冑澴瀘渾湲深淨淄淫滔溪腮浮潘澤
檗	擘臂壁劈璧襞譬蘗闢薜癖避僻闢霹辜薛辛辣梓
燧	隧遂焙炫炕煜萄燉鰱送逆迸熾爐黯立芯縫撻煆道惟粒烊烘炊泣拉垃灼
逛	誑逖狂斑遑班玨湟惶煌痊筐篁漪隍栓拴銓佺潤韹眶框王荻凰荃
鉅	炬拒巨苣矩距分鋸局凹凸鏗忿岔釁鈿釦針釙侷汾扮吩份鑑鑷金渠盆芬
耐	而耍湍揣惴喘耑瑞端肘踹封射村尉忖吋付對辱
鶯	鷓鴣鵲鵝島鵑鳩鴃勞鶴榮鳶熒鶸螢鳥鴦營鴨鴆瑩縈鳴塋犖鵬鴻
踞	倨跼距躡鋸足踝跟跦蹕跚跑趺躋趴跆踫踵跤跋跌趾蹼踐踏踩跎躁踟
枉	杯弄玥槓王本琴班玫珊玖玨閏框旺匡斑柯枰琳全汪玷桿玟瑟皇狂柄杜栓珀
伸	樓屢甲簍暢呻坤摟婁砷嘍褸佛鏤由申紳仲介神
災	淄臘鬣繅錙火輜邋巡煤瑙焚獵痙涇惱莖巢姦燒烤炎邕腦蠟緇逕
勃	渤孛助肋脅觔劫勒勦叻幼協悖脖勇荸勉劾劻劬勘動勛功勤勣勳勵迦咖
峴	莧覓筧現規硯視蜆覜覬覦靦覲觀見覺窺攪比能
疫	芟股投段殷般殺役殼毀殿骰穀設毆毅疼瘋沒瘢
禧	嬉嘻僖譆社禱結喜禪禮福禍禳祥祐祀黠祗祕祠祖祝祚祆祁熹
即	唧節卿鯽叩櫛印卸卹卻卯既孵餌昂卵飼頤抑仰泖迎柳啣慨溉概腳鉚茆
束	剌悚敕速秉賴柚棣乘喇漱嫩嗽辣簌木中禿利枕瀨懶癩籟
霪	霑霆雨霰霜霾霖霍霄霹露霞霏霽霓雯雪霎雲霧靄霤震雩黴靈零
弱	鶸溺篛夙歹危殉死桅栘脆殆侯殘侈列孑夕多殊殃殖歿乳矽孜沍汐冰舛
梡	皖院莞棕檳寇完糉玩淙棺榕檸冠元沅稼頑崇宗
笮	篇乍戶炸柞昨咋妒作窄笑怎肩祚砟房蚱淚捩唳偏遍僱褊邀
媚	湄楣眉帽瑁算省自箱篡娩咱洎湘首目廂臬冒纂
慟	動種腫湩鍾董衝踵重懂筋鋤渤黝拗拋脅觔劻湧勝箄勞勗窈男
鉗	芋謀墟嵌甘某煤甜錘鉼鎂疳虛芣錯蚶噓柑媒箝酣坩錨
寶	實賁賽瓚臢鑽簣賞賡貧讚匱圓賸磧積遺潰嘖慣槓漬損債隕
筵	涎誕延庭梃挺霆艇廷篷隻雙冬反蜓怪奴處簸各疼皮及又腱毽鈑隆馭鍵
糊	咕糉葫精湖居糖瑚估鈷糙米姑苦鬍枯固沽料胡做蝴粗
悶	閔閒們闊闆閨門閏閩閘間燜開閂閑閎問閭捫閥聞闖閉闌閃
芷	企武扯址祉啃止趾肯歷歧歲步正遣芒症薺蔬焉怔逃涉賦
礬	磊禁閤詹答言焚婪椅桐蘑訾痘楚梵筒石礎銅減喊胴洞洽拾恫恰峒哈
澇	勞撈
毓	敏梳流疏硫琉嗨梅晦幟海熾悔堉唷侮織職識莓每
水	汁汝汕沐汨沖沁淦尿支汀氾汛汗汙池汐汪決汰沌沃汴汶沙沛沽沾沫法
症	政徵扯肯企懲址逃整遣啃狀証證祉歪嫣焉步芷左怔止武歧正
格	咯烙胳洛恪略鉻板珞絡賂路骼客詻貉酪駱閣咚各
髡	髦髮髯髭鬆鬍髻鬃鬢鬚鬣元須軏兀衫杉箄疹完彬彩虺彥顏阮沅形彤
釣	約怡金杓針趵勻釦妁釙勺鈞鉋灼鈿公鉍的昀豹芍鈍勾鉤均恭喲酌
黍	稚稔黎禾番香委秋秈和黏私季禿稍稞秣租秩祕漆稼科秒利穡
沁	沌池泌洩洵泡洶淘水柒泥心沐汨沖汝汕汁淦沙沛汪決汰沃汴汶注泣沽
褊	遍偏蝙編篇扁襤盛匾肩牖濫楹檻鑑籃盅錳僱隘溢溘溫慍尷媼塭嗑鎰猛
紜	縉經縲絲絰耘絃絨縹紆紅緻糸結給絹綏綜綵織纏細組紂約緬芸
鯉	鰓鮭鮪鱷鰥鮫鮑魷鯧鯛鯀鯨鯖鰭鰻鱔鰍鰱鰾鱖鱸鯽
許	訥誰計訣訐討訕訊託訏訑記註評詁詛詐詳話誅詢訂訃誣誧誚課諛訖詮
尢	疝尤尬尷拋疣山大疤就嵇魷巳已己兀丈屯太夭巴天又匕文力兇九尹七
題	頻顧顆頂願顛頃匙提頒頓頡頤頌頭顫顯頰顥碩頊頫頑領是煩須頷項堤頜
淋	漱渣痳彬棟森漆焚淅婪樑淞林沫材琳沐孱橾村楝梱決湘霖
醉	酒釅醮酥酸粹醞酵醴醒醺醇碎配瘁酴醣酩酗酉醋酪淬釀悴酷醃萃醜誶酬酣酌
彷	徬防往妨坊枋仿肪徙房很徊律徇徉徒芳彿彼徵紡舫徠徜循徹旁
彪	衫遞杉彤褫彩彰形影彥彫彭唬虎琥麝號箄密皆
溪	蹊奚湲滔渾深淨淫浮沉溴淚谿雞幼滑漯滋拗洞縈
勺	釣慷約怡心杓怯趵勻愧旬妁忖慵戈句甸鈞慘灼憾的昀芍勾怵均匍忪惦
躑	擲蹣蹼踫鄭躇蹉足躂踟跳跚蹲躪蹴蹤躋蹕踝跡跟跤跛跋距趾趺趴躊蹶
僕	卜偌異僎俗拱撲璞備樸補併谷供濮哄借共噗烘僅恭基洪蹼 佯
牧	牛枚牡畋啟玫放牠牲牯故改牝收敉敝敖敕敞敢散敬敵數矢失矣疾
酩	酪酷醋酌酊醣醜酉酵酸銘醇醉醃醒醞醱醮醴醺釀釅酥酣酗配
燼	儘盡盃遣遺潰燃腓排眺啡桃逃俳洮挑姚佻匪簣匱痱菲盔窕屝晁
五	吾伍唔圄悟捂晤梧於本語籲圩宇汙餘芋迂竽苯敔笨鼯齬
頊	頑頓頌煩項碩頃頡頜頂頻頭頤顆顧顯頒須頫頰題顛願顫
蚩	嗤蟲工虺缸釭肛汞槓江扛蚊蚪蚓蚤蚌蚣蚶蛄蛆蛀蚯蚱虹虻強蛙蛔蛐戕
帥	埠匝嫦幣簾啟帷吊啼怖錦師常阜帖帕帛帝棉篩帟啻佈鈽巾帑獅蹣滿布
伐	今伏代俟令含念筏偽傭俯人食倉閥付傀伶吟俊傖鈐踐袱戈岑貪
氦	閡核垓咳孩該賅駭骸氣氧氤氯氳氖氨氟氬氛氮劾刻
賑	脤振娠晨宸震賬貝賄賅貼敗財賦辰脣脣賭販賺賒賊賤貯貽則
刊	幹刑劃刖刈釗列判刪利刺到刮制剎削剌剋剜剝副割剴剩劃劂劍劊劑
磋	嗟搓嵯蹉磊硿詳咩磺砥差磁磴碰碘羣碾碳碟礦石
陪	陷倍隄防陞隕競賠焙漳隔隨噫弔陸幛接阮菩除暗培障隧僮陀阬部隘涪
杓	灼妁釣芍的枸約豹酌勾勺林怡勻村杜均樸昀札鈞槐喲木森
蔔	匐苟芯富逼荀苞芍福幅副葡菊葦石蝠輻茵茴苛苦若苗苯泵芣巖芋磊瘩
堅	腎緊賢豎宦臣服臥怪臧壑藏報候臨型壓鑒痣捌贓臟
愆	衍悶恐慫恣銜桁沅行汀惡您息怎急忝愈葬黎竺丁街術衡釘酊汽佇污扒
鞋	革鞘靶勒鞅鞠鞍靼鞣靴鞦韃韁韉蛙畦桂掛娃哇佳鞭韆
霹	癖薜避闢僻雪霞霖霑霎雨霰霪霜霏霆霽霍霄雯辯辦闢
咆	抱砲刨咄苞皰叱劬泡炮胞跑句匏鉋包巳袍鮑庖雹飽 
排	誹菲徘匪罪悲非靡挑俳輩斐徊屝痱啡靠霏裴腓扉
綿	終絡幫繙錦絹絳糸線締帛編總棉繳縲綵紙綏絲
睛	倩請猜精債蜻磧情菁睜積瞎睬清嘖晴鯖漬青靖
忙	罔虻芒盲丐心惇憧茫憶肓玄氓懷慌悼妄忘惘裊荒悴恨杗亡
捌	喇涮咧硎俐拐揖倒洌琍側惻測冽例蜊瀏叩鬥荊前莉痢
箇	錮涸個固古楛苦居舌鈷胡牯枯沽姑咕估罟葫毋湖故
濾	瀘慮爐擄臚鑪廬蘆膚墟噓唬驢鱸盧虜遽據噱琥瘧
峪	浴俗裕容豁谿谷鎔嶔溶榕熔卻欲蓉敗腳慾鉛鈉錐壑
泅	泗涸渭囚溫浬畋漯佃澴水界捆個梱油沁沐汨沖汝汕淮淦汁鈿泠汽洽海
娩	奴攙饞逸冕媚輓妣鏡菟好兔妤晚竟勉妳奶媳挽冤妞免境
塘	瑭搪糖醣唐埔城域班去埃塊垢坤坷怯法圻址均圯壙劃州康庸丟玉允土
掇	輟啜綴
汴	汶泣注沾濟犀屬卞滴淑涉滷沆流涼涪滾漓沁沖沐汨汝汕汁淦液淳淬滂
挪	邵哪梆邦耶嘟弔躑擲瑯椰鄰那廓郾郡爺榔槨琊綁螂廊邶娜
碌	砍綠斫砠礫錄碓研氯磯磴砟砝砰矽泵硝砂砧逮歌祿磊剝石
遨	埃熬撤橄嗷攸擻澈敖激倣竅撇放鼇繳邀撒檄傲傚做族贅聱嫩
梗	埂鞭杯樓槓橄哽粳朽柚柯枰枉由析便桿更硬柄甦
蝨	蟲蠡強蚤蠱蝕搔閩蛋蜜騷虺蜇蜃蟹螢融螫蠻蟲螻
盞	蓋藍籃闔溘嗑濫檻襤鑑箋監盍瞌磕尷侖皿冊棧淺錢艦
窄	搾搾窗窖笮空穹窮竊穿突簾窠究竅竄乍戶炸柞昨咋妒作
告	壬浩造吉窖靠皓呈售妊任衽逞誥酷程荏周薰丟廷拮桔淫糙燻
檐	詹瞻
飯	飭餞飴版餃餚板餉饉返餌飲反飪蝕餓飼餡餿餅餽飽餒飢飩
屎	米咪迷粱屑氣粥粟慰熨糜尉麋蔚乎籽敉料掬粒粗粕憐燐璘遴磷
躺	黨膛徜身窮擋掌倪檔常儅嚐趟棠當鐺躬鏜躲襠堂軀尚淌倘噹炯兒
找	拚擡挨摭拔捕搪拭摻撼擴我手戈扣伐撲弘俄扎峨娥哦
醺	酷醮酪醜酥醋酉釀燻醞醒醇醉醃酵酸酩酣酗配酌酊
峯	洛扳烙咯板鈑絳蓬返恪篷蜂烽降縫胳鋒夏逢鉻咚格略
逸	儳攙饞冕輓鏡溴菟嗅兔娩晚竟毚勉臭挽冤巉免境
袒	怛坦但靼晝疸查旦陽隄褐得暢焊桿湯捍悍暘銲旺昊旱
產	笙鏟星牲性姓生旌甦彥剷薩猩惺腥甥隆頻猜拜醒
涸	個錮箇固沽泗泅湖古渭楛活枯胡鈷姑咕估苦居
莠	透誘秀萎蕃莉乃悸扔奶仍痿審季孕菌馨秦氖痢蘇逶揪愀啾倭俐潘播墦
端	湍竭颯意而瑞耑揣耍竣耐顓立章竟踹站音惴妾靖童喘
伴	胖畔倦俏勝謄半蜷叛踡拌賸券卷夥圈絆判騰滕捲姅倘拳眷
蛆	蟲蚯蚶蜆蟲蛀蛄蚵蚱蚪蚌蚊蛙蛭蛔蛐虹虻蝸螟蜩
愎	扳復板夜憂伋各鈑覆皈返複恪冬晷反腹怪愉恰悔愴馥
綺	絡寄琦緯絹絳錡糸綻緩騎絨結奇給縞縲倚綵崎綰緝畸緹綏綸綜椅絲繚犄
蠡	蟲蝨蛋蚤蠱強蟹騷蝕搔螫蠻篆閩蜇蜃螢蜜融喙虺
銻	梯涕悌娣弟剃阡第銳鈕欽陴阪鉛陞陲釵郝隍降鍵弔
妳	妞好奴嫵娛婿你奶粥弩氮啖淡燄妤娩女姦煎始恢娟婉娼婷焰嫘漁嫻燃
然	燃撚疢灰痰煞炙央恢奧熬奐炎胰肱肋英傑爾煥映泱怏燠
布	希帑吊幣佈怖鈽巾匝簾帛帝帥唏晞烯帟啻幕刈稀
急	患忠心思恣慰芯您穩忍怒弭忌泥癮恩隱恿恕忘感惠悶怨忝聞恭息恥怎慝志恙
吝	文吞君紊抆汶右知各虔閔佑玟迦斕若癌紋蚊憫
碳	礁砲磋斫砠礫票詼研磴碾碗滅砥砌砰硝灰禁硫砂礦祭炭碟恢訕祟硿磊磺禦石
娣	悌涕梯銻弟剃阡第陴阪陞娜郝陲降隍婀弔娩姨郊姊妯郾妒妞妙妖妊防
隕	槓慣臢員潰債遺韻磧價賡賸簣嘖賁損匱蹟鑽賞圓漬
勳	壎動劫脅觔劻助肋叻幼黝男劣勵勦勤勛勸勒勘勉勃劾劬功協迦咖伽黑
黌	簧鱟橫學磺璜覺黃攪餚蕈廣淆崤薑冪夭髒朦餚膜
衝	街銜衍衢衛衡衙術桁慟種腫鍾湩董踵循行徵徨役
伺	侵叼倀合刁浸婦掃司虐彗佑倍儉祠雪慧信哈倔唔偉超遣歸伊侷倨嗣飼
魍	網惘輞罔魁鬼魅魑芒魎荒鋼魄瑰槐愧塊傀籃蒐監盞幾盍肓
稀	烯晞唏希幕鈽怖佈稱稻秒稍秧租利禾禿布稈程嵇稜稔移稿稼稽稷積穗
欲	卻吹砍歌慾欽歐歉炊歎坎溶榕熔鎔蓉軟欺畝飲歇欣玖次歟磴腳疚
肢	鼓取梂月最娶屐臏軍肺脖豉技山肝枝吱支朋妓腕腔受肚芰歧岐求
簽	儉臉檢撿答瞼殮險籥驗鹼閤洽拾恰哈合八拿篠篌筏斂劍碓鑰給蛤
巴	把吧邑杷肥芭疤笆色爸浥耙爬扈梔搗葩靶日曰山皁邕琶
甽	圳釧川順串遝澴還甲界罟罪寰彿環懷壞襪訓馴眾患買介罩夢罹
兜	徵鄉微昂迎抑禿仰懲兒癥衣允氏風笛袞筆衷袁亮媳嫂很徊徇律徉雍兕
兔	免冤勉菟逸娩挽冕晚輓臭竟嗅溴毚戛境儳鏡巉攙
隍	徨湟惶遑煌蝗韹凰篁皇陞階珀阡隆隙降陲陴旺阪斑班
寧	惆孚獰嚀密十恫耆檸孛亭悖惻愈蜜愉濘恥勃恐擰俞
澠	繩蠅鼇況泯涓浥泡汕澡潠濟淌淵涵淦活洶洸洎沽沾河沁沈沖沌汨沐汝
請	謂譎諍誼談論誌誡諭諼謀試詮詰詼謠訟誚詳詛謹訥訕訏訐計訂訃調
鰍	鰾秋鮭揪鯉鞦愀鯛鯧鮪鯀啾鰱鯨鰓鍬鱗鮑鱷魷鯖鯽穌鮫愁鰭
幣	弊彆瞥氅鱉斃布佈帑敞敝帝簾帛吊廠蔽希撇鈽怖
裯	雕彫週惆啁周蜩稠碉凋肚鯛綢巾盅吉調補裡袍帷衽帖圯兒桔拮膨川庸
翻	櫂瀚羿翔煽擢翩穋扇翎塌翹翱褶翅戳翳鄱嗡翮曜栩濯遢羽翼摺翡翰榻
棟	痳凍柙彬森欄東淋焚柬番婪棵林材琳楝村梱陳
庫	載轟軍輦連褲陣範車輩軋蓮暈葷軒軏軟軌揮渾軸暉運漣鏈囀
捷	睫豐抹拂捕扯撲找按技括攤抨押抓扶掉抖拷拽捉挾搪推庚抽折控妻挫
崤	餚爻崎淆洧侑髓宥囿希有晞烯唏稀駁賄鬱兇學
磐	槃盤磬磊般瘢搬碧巖疫芟設殷段股投磨穀骰毀殿殼拓役司
鞅	鞘勒映泱怏革英靶鞋秧鞠殃靼鞍鞣靴鞦鞭央韁韉韃韆
蘗	檗臂擘壁薜襞璧劈譬闢癖薛避僻莘闢辜霹辣孽葉菩菜棻茶辛梓
柱	蛀枋拄注樸梳主椒梓林楨杭柿核駐往校註杜棹枓住
若	惹匿偌艾右祐諾慝茄暱莢哎薦吝吞君荻落荔送知朕佑
璩	遽據噱琥豳邃逐斑豕豚墟豬玨劇班豢璨璿璋璃瓖琉玷玟豭瘧
銬	烤拷考針鈷鎮銨錠丈鉅賭鈣釙杖仗鎔鐵鉸銖鋅鋪鈸鈹鈿赭鋸鈑釵釦鎂
啻	帝啼蒂締蹄諦吊睿布匝常幣旁帟帛帑簾巾帥敵龍離獻
蛟	蟲蚊蛀蚪虻鉸餃校姣咬蟲蛙蛔蛐絞蚶蛄蛆蚱蚯皎蚌狡蚣蟑蟀蠔
汝	水娶女汕汁沁沐汨沖淦淄姦汙汗池汛汐汀沙氾沛汪決汰沌沃汴汶泣注
涿	啄塚琢塚浹汪沔汙汗汀湎酒源洹河沍江污愜尹
胭	姻咽茵胛嗯恩腮氤因朋腦囿男雷胰朕肱肚肋更囪月
猷	酋奠猶狀畎默吠獻伏莽突獸臭哭戾犬獎器醣袱酉
梂	球毬求救枝裘村支械棧寸戎林肢技岐妓吱芰梓棹棲棣楮株枯枰杵枓槐
疽	宜有且狙沮姐咀餚砠祖租粗俎阻勗組蛆鋤左亙詛助齟
弘	夕泓外汐舛強歹弓凡丸令名殘戈引汎汍伐找矽釩殆銘瓦矛予甬多宛桀
呀	訝芽蚜穿琊牙邪雅鴉撐籲辱叮唔喂褥呵呸哂哽啄啞耨才
饕	饗餮餐號飧癢食養良娘虎琥琅唬狼浪瘡蒼岑傖
摩	痲麻糜魔空麼蘑搾戎嘛述搴挖靡麾磨朮穹穴嬤舉怵控
城	坊妒埃作戶笮去蚱炸誠肩蝙茂乍成盛咋塘祚域昨戊怎埔柞
鄧	郃邢邱登澄嶝燈橙磴鄭鄴瞪蹬凳鄱鄰鄘鄞鄙鄗鄹郵郾部都郭郡郝郢郊
戡	湛甘辰諶農圬堪佞脤甚儂斟振芸勘棋脣宸膿箕娠淇濃其期晨始噥穠污
琺	斑班玨法玳溘王琳瑯瑚琅球理瑰瑭玥琉珪璀弄
擺	襬罷態熊擇能押批揩攪蜆比毗庇曙燭澤濁獨觸躅鐸鐲髑鉀柙胛呷紕枇
休	付咻茶榦條人仔他林保咐木府符夥伐仲佃仕仙沐僕什俯偉搽餘森集
躉	萬厲足蹣捉促癘躅躋躇邁蹄踐踏踩踝躪跟跚跆距趺趴
譴	謎訃讓諒諄誶誹訓註誕誑訛謫該詬詨詞証詁詛訶訪訢訐訌訕訏訂計譟
蛀	蟲蚪蚊虻蛟蛙蟲蛄蛆蚱蚯蚶蚌蛭蛔蛐蟀蟑蠔蚵蛛蛞蛾虹蠅蚣螃蚓蜩
寺	待寸詩守恃專痔持奪忖辱峙等吋特對塒侍時村付肘尊封 
崛	掘倔窟屈出咄拙茁妮怩呢嶇己已屆矚絀黜祟尼
獎	獸器蔣獻哭默槳畎將鏘狀漿醬棧吠伏戾突肘臭犬莽猷
慄	溧腰遷慄價粟要賈覆袖裸惴悟怫韆梱亞惡匐牒愣惰懦懷懵啞恆柚褸怔
禿	利禾秈秧委香番季莉痢秉私和秋俐秀兕黍乘科秒秣租祕琍稍稅稀嵇稚
趟	越趙徜趨俏躺趣趁起儅嚐陡儻徒尚赳超淌倘走趕赴
嗑	磕溘瞌蓋豔闔盍濫檻襤鑑砝盞尷藍籃塭監媼慍溫溢遍偏褊錳鎰艦怯法
洋	羊磋鮮搓詳樣咩徉羣氧祥羼烊差漢嗟嵯羋蹉庠洪羞佯
喟	渭謂喂胃哩咽呷膚嗯啃唷嘿冑胄娟捐涓噹嗶當
淳	惇諄醇涼濠享液沆沾淬哼漓澶浮孰郭敦槨墩燉廓亨
潠	撰僎選巽巷溢港洪圯瀑起鬨祀共巳戴糞涓浥烘拱泡供濮暴冀異基恭
曉	橈燒撓澆嬈僥鐃繞蟯蹺饒驍堯珪時圭捏涅翹畦桂掛娃哇卦佳塒閨奎
馬	馭騾驅駁馱駙媽駝嗎馳騎驗罵駟駱駒騵駭馴駛駢騙駐驍
嘆	漢攤灘癱歎艱難嚥噗哄咩哎嘈嗟噶嘶剴庚豆嗶嘯唯呻呷聽呎吹吶吐叫
拉	倍啦焙擠抆撲拄垃泣拈接撞菩暗培立粒位昱抖站笠音涪妾
氧	氣氤氟氳氖氨氮氦氯氬氛庠氫佯烊洋咩愾磋鮮
偷	喻儉瘉輸蝓癒逾褕諭儈渝倫瑜傷傖侮愈愉佺伶榆俞
握	渥喔齷屋至姪室致到窒摒掘絰蛭輊倒耋掃臻緻套
辦	薛僻辣宰滓癖鋅瓣霹梓辯蘇辜避莘辨闢薜辛辮協脅
鍾	腫湩董踵種慟重衝動懂銖錘鋰銑鉑鐘鍛鎢鈑釩鏈裡千
